date,open,high,low,close,volume
2017-06-08T16:45:00,1.12107,1.12138,1.12078,1.12116,244
2017-06-08T17:00:00,1.12113,1.12113,1.12017,1.12038,203
2017-06-08T17:15:00,1.12041,1.12075,1.12036,1.12052,157
2017-06-08T17:30:00,1.12054,1.12130,1.12054,1.12086,193
2017-06-08T17:45:00,1.12088,1.12139,1.12080,1.12118,132
2017-06-08T18:00:00,1.12116,1.12128,1.12089,1.12124,129
2017-06-08T18:15:00,1.12122,1.12184,1.12108,1.12165,201
2017-06-08T18:30:00,1.12168,1.12190,1.12154,1.12190,106
2017-06-08T18:45:00,1.12192,1.12286,1.12188,1.12224,367
2017-06-08T19:00:00,1.12222,1.12258,1.12156,1.12159,240
2017-06-08T19:15:00,1.12156,1.12170,1.12110,1.12136,165
2017-06-08T19:30:00,1.12139,1.12146,1.12105,1.12113,144
2017-06-08T19:45:00,1.12115,1.12180,1.12097,1.12175,203
2017-06-08T20:00:00,1.12172,1.12183,1.12156,1.12166,66
2017-06-08T20:15:00,1.12164,1.12180,1.12139,1.12149,64
2017-06-08T20:30:00,1.12152,1.12154,1.12134,1.12144,64
2017-06-08T20:45:00,1.12142,1.12160,1.12128,1.12142,135
2017-06-08T21:00:00,1.12137,1.12367,1.12037,1.12148,2142
2017-06-08T21:15:00,1.12152,1.12235,1.12077,1.12080,1050
2017-06-08T21:30:00,1.12078,1.12092,1.12000,1.12008,310
2017-06-08T21:45:00,1.12010,1.12086,1.12010,1.12052,187
2017-06-08T22:00:00,1.12050,1.12077,1.12024,1.12067,231
2017-06-08T22:15:00,1.12070,1.12143,1.12046,1.12090,383
2017-06-08T22:30:00,1.12088,1.12088,1.12034,1.12048,113
2017-06-08T22:45:00,1.12050,1.12064,1.12032,1.12034,160
2017-06-08T23:00:00,1.12036,1.12036,1.11964,1.11974,312
2017-06-08T23:15:00,1.11971,1.11985,1.11918,1.11934,187
2017-06-08T23:30:00,1.11937,1.11948,1.11817,1.11842,248
2017-06-08T23:45:00,1.11838,1.11899,1.11801,1.11886,320
2017-06-09T00:00:00,1.11888,1.11948,1.11866,1.11914,473
2017-06-09T00:15:00,1.11912,1.11912,1.11841,1.11852,335
2017-06-09T00:30:00,1.11850,1.11858,1.11804,1.11838,250
2017-06-09T00:45:00,1.11840,1.11860,1.11794,1.11824,358
2017-06-09T01:00:00,1.11822,1.11844,1.11808,1.11838,195
2017-06-09T01:15:00,1.11836,1.11942,1.11835,1.11928,194
2017-06-09T01:30:00,1.11930,1.12012,1.11920,1.11998,219
2017-06-09T01:45:00,1.11996,1.11996,1.11948,1.11990,145
2017-06-09T02:00:00,1.11993,1.12004,1.11930,1.11938,195
2017-06-09T02:15:00,1.11940,1.11958,1.11910,1.11930,164
2017-06-09T02:30:00,1.11932,1.11976,1.11906,1.11940,139
2017-06-09T02:45:00,1.11936,1.11964,1.11920,1.11959,146
2017-06-09T03:00:00,1.11962,1.11973,1.11918,1.11920,107
2017-06-09T03:15:00,1.11924,1.11986,1.11919,1.11976,166
2017-06-09T03:30:00,1.11974,1.12064,1.11965,1.12016,219
2017-06-09T03:45:00,1.12018,1.12044,1.11965,1.12004,174
2017-06-09T04:00:00,1.12002,1.12034,1.11990,1.12034,60
2017-06-09T04:15:00,1.12032,1.12081,1.12030,1.12070,149
2017-06-09T04:30:00,1.12068,1.12068,1.12017,1.12060,113
2017-06-09T04:45:00,1.12063,1.12146,1.12040,1.12040,250
2017-06-09T05:00:00,1.12038,1.12060,1.12014,1.12060,231
2017-06-09T05:15:00,1.12057,1.12135,1.12040,1.12062,249
2017-06-09T05:30:00,1.12059,1.12118,1.12020,1.12095,313
2017-06-09T05:45:00,1.12093,1.12128,1.12022,1.12038,314
2017-06-09T06:00:00,1.12040,1.12158,1.11865,1.12141,908
2017-06-09T06:15:00,1.12143,1.12144,1.12009,1.12067,611
2017-06-09T06:30:00,1.12065,1.12100,1.11881,1.11932,865
2017-06-09T06:45:00,1.11929,1.11971,1.11870,1.11892,684
2017-06-09T07:00:00,1.11894,1.11991,1.11886,1.11924,932
2017-06-09T07:15:00,1.11922,1.11972,1.11854,1.11922,584
2017-06-09T07:30:00,1.11919,1.11984,1.11894,1.11984,445
2017-06-09T07:45:00,1.11981,1.11981,1.11896,1.11898,365
2017-06-09T08:00:00,1.11900,1.11905,1.11823,1.11842,488
2017-06-09T08:15:00,1.11840,1.11875,1.11805,1.11819,507
2017-06-09T08:30:00,1.11816,1.11934,1.11698,1.11710,1234
2017-06-09T08:45:00,1.11713,1.11777,1.11710,1.11761,544
2017-06-09T09:00:00,1.11763,1.11839,1.11752,1.11831,467
2017-06-09T09:15:00,1.11834,1.11856,1.11791,1.11844,246
2017-06-09T09:30:00,1.11842,1.11874,1.11808,1.11820,241
2017-06-09T09:45:00,1.11818,1.11830,1.11730,1.11730,277
2017-06-09T10:00:00,1.11733,1.11822,1.11733,1.11782,291
2017-06-09T10:15:00,1.11780,1.11836,1.11766,1.11800,331
2017-06-09T10:30:00,1.11798,1.11804,1.11736,1.11790,179
2017-06-09T10:45:00,1.11793,1.11851,1.11770,1.11809,351
2017-06-09T11:00:00,1.11807,1.11834,1.11750,1.11763,320
2017-06-09T11:15:00,1.11761,1.11822,1.11752,1.11776,242
2017-06-09T11:30:00,1.11774,1.11816,1.11772,1.11790,139
2017-06-09T11:45:00,1.11788,1.11826,1.11788,1.11796,150
2017-06-09T12:00:00,1.11798,1.11806,1.11720,1.11758,430
2017-06-09T12:15:00,1.11760,1.11782,1.11713,1.11777,230
2017-06-09T12:30:00,1.11775,1.11780,1.11727,1.11760,343
2017-06-09T12:45:00,1.11762,1.11784,1.11670,1.11688,384
2017-06-09T13:00:00,1.11690,1.11736,1.11664,1.11702,384
2017-06-09T13:15:00,1.11698,1.11756,1.11692,1.11736,281
2017-06-09T13:30:00,1.11734,1.11770,1.11720,1.11762,293
2017-06-09T13:45:00,1.11759,1.11814,1.11736,1.11744,351
2017-06-09T14:00:00,1.11746,1.11890,1.11743,1.11854,441
2017-06-09T14:15:00,1.11852,1.11867,1.11810,1.11818,209
2017-06-09T14:30:00,1.11816,1.11866,1.11804,1.11824,213
2017-06-09T14:45:00,1.11827,1.11849,1.11816,1.11834,227
2017-06-09T15:00:00,1.11837,1.11874,1.11826,1.11863,230
2017-06-09T15:15:00,1.11865,1.11918,1.11849,1.11904,232
2017-06-09T15:30:00,1.11901,1.11912,1.11837,1.11911,227
2017-06-09T15:45:00,1.11909,1.11928,1.11881,1.11892,166
2017-06-09T16:00:00,1.11894,1.11948,1.11873,1.11941,179
2017-06-09T16:15:00,1.11943,1.11982,1.11940,1.11969,243
2017-06-09T16:30:00,1.11966,1.12000,1.11959,1.11974,174
2017-06-09T16:45:00,1.11976,1.12008,1.11969,1.11978,199
2017-06-09T17:00:00,1.11980,1.12040,1.11975,1.12004,251
2017-06-09T17:15:00,1.12006,1.12009,1.11978,1.11978,124
2017-06-09T17:30:00,1.11980,1.12022,1.11970,1.11970,153
2017-06-09T17:45:00,1.11968,1.11985,1.11940,1.11943,156
2017-06-09T18:00:00,1.11946,1.11946,1.11913,1.11917,134
2017-06-09T18:15:00,1.11915,1.11926,1.11910,1.11919,76
2017-06-09T18:30:00,1.11916,1.11952,1.11912,1.11920,108
2017-06-09T18:45:00,1.11922,1.11992,1.11922,1.11964,327
2017-06-09T19:00:00,1.11962,1.11996,1.11926,1.11958,313
2017-06-09T19:15:00,1.11956,1.11987,1.11932,1.11976,202
2017-06-09T19:30:00,1.11973,1.11978,1.11954,1.11970,126
2017-06-09T19:45:00,1.11968,1.11973,1.11940,1.11954,135
2017-06-09T20:00:00,1.11950,1.11972,1.11940,1.11940,76
2017-06-09T20:15:00,1.11943,1.11962,1.11942,1.11954,74
2017-06-09T20:30:00,1.11952,1.11978,1.11952,1.11968,80
2017-06-09T20:45:00,1.11970,1.11974,1.11946,1.11959,102
2017-06-11T21:00:00,1.12088,1.12088,1.12060,1.12064,29
2017-06-11T21:15:00,1.12060,1.12066,1.12054,1.12056,24
2017-06-11T21:30:00,1.12058,1.12074,1.12058,1.12064,16
2017-06-11T21:45:00,1.12067,1.12070,1.12049,1.12050,36
2017-06-11T22:00:00,1.12052,1.12095,1.12038,1.12088,124
2017-06-11T22:15:00,1.12086,1.12086,1.12051,1.12056,68
2017-06-11T22:30:00,1.12054,1.12054,1.12026,1.12032,45
2017-06-11T22:45:00,1.12030,1.12044,1.12030,1.12040,21
2017-06-11T23:00:00,1.12042,1.12042,1.12019,1.12022,29
2017-06-11T23:15:00,1.12024,1.12049,1.12014,1.12049,65
2017-06-11T23:30:00,1.12052,1.12060,1.11990,1.11994,63
2017-06-11T23:45:00,1.11991,1.12020,1.11974,1.12020,122
2017-06-12T00:00:00,1.12018,1.12058,1.11994,1.12050,173
2017-06-12T00:15:00,1.12047,1.12052,1.12018,1.12025,86
2017-06-12T00:45:00,1.12050,1.12080,1.12025,1.12050,125
2017-06-12T01:00:00,1.12052,1.12074,1.12045,1.12064,98
2017-06-12T01:15:00,1.12066,1.12077,1.12060,1.12070,46
2017-06-12T01:30:00,1.12068,1.12070,1.12036,1.12038,71
2017-06-12T01:45:00,1.12041,1.12041,1.11978,1.11978,119
2017-06-12T02:00:00,1.11980,1.12024,1.11980,1.12000,81
2017-06-12T02:15:00,1.11998,1.12070,1.11998,1.12068,71
2017-06-12T02:30:00,1.12066,1.12118,1.12066,1.12090,134
2017-06-12T02:45:00,1.12088,1.12113,1.12079,1.12102,113
2017-06-12T03:00:00,1.12104,1.12104,1.12068,1.12071,114
2017-06-12T03:15:00,1.12068,1.12076,1.12041,1.12041,79
2017-06-12T03:30:00,1.12044,1.12069,1.12044,1.12060,70
2017-06-12T03:45:00,1.12064,1.12069,1.12046,1.12067,62
2017-06-12T04:00:00,1.12070,1.12086,1.12066,1.12066,31
2017-06-12T04:15:00,1.12068,1.12068,1.12023,1.12056,50
2017-06-12T04:30:00,1.12058,1.12068,1.12056,1.12064,24
2017-06-12T04:45:00,1.12067,1.12067,1.12062,1.12064,8
2017-06-12T05:00:00,1.12067,1.12098,1.12065,1.12094,30
2017-06-12T05:15:00,1.12096,1.12100,1.12082,1.12100,34
2017-06-12T05:30:00,1.12102,1.12104,1.12076,1.12100,80
2017-06-12T05:45:00,1.12098,1.12167,1.12091,1.12126,120
2017-06-12T06:00:00,1.12124,1.12151,1.12116,1.12126,186
2017-06-12T06:15:00,1.12123,1.12138,1.12090,1.12100,205
2017-06-12T06:30:00,1.12097,1.12140,1.12093,1.12127,138
2017-06-12T06:45:00,1.12130,1.12166,1.12110,1.12110,151
2017-06-12T07:00:00,1.12113,1.12147,1.12050,1.12052,349
2017-06-12T07:15:00,1.12054,1.12109,1.12044,1.12105,165
2017-06-12T07:30:00,1.12102,1.12185,1.12100,1.12163,223
2017-06-12T07:45:00,1.12161,1.12237,1.12131,1.12212,192
2017-06-12T08:00:00,1.12214,1.12276,1.12200,1.12215,275
2017-06-12T08:15:00,1.12212,1.12258,1.12178,1.12188,237
2017-06-12T08:30:00,1.12186,1.12198,1.12152,1.12181,264
2017-06-12T08:45:00,1.12179,1.12268,1.12179,1.12254,235
2017-06-12T09:00:00,1.12257,1.12262,1.12194,1.12229,190
2017-06-12T09:15:00,1.12232,1.12236,1.12174,1.12177,190
2017-06-12T09:30:00,1.12180,1.12202,1.12158,1.12180,204
2017-06-12T09:45:00,1.12178,1.12202,1.12160,1.12166,253
2017-06-12T10:00:00,1.12169,1.12206,1.12134,1.12188,152
2017-06-12T10:15:00,1.12186,1.12188,1.12150,1.12172,214
2017-06-12T10:30:00,1.12174,1.12264,1.12092,1.12108,566
2017-06-12T10:45:00,1.12111,1.12170,1.12082,1.12164,263
2017-06-12T11:00:00,1.12167,1.12244,1.12144,1.12241,202
